Year,Country,Region,Ecosystem type,Units,Unit measure,Unit multiplier,GeoCode,Value
2015,England,North West,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,66706.0
2015,England,North West,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,66656.0
2015,England,North West,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,100.0
2015,England,North West,Saltwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,4230.0
2015,England,North West,Saltwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,0.0
2015,England,North West,Saltwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,0.0
2015,England,North West,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,2580.0
2015,England,North West,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,2360.0
2015,England,North West,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,91.0
2015,England,North West,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,71430.0
2015,England,North West,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,1085.0
2015,England,North West,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,2.0
2015,England,North West,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000002,1164.0
2015,England,North West,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000002,766.0
2015,England,North West,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000002,66.0
2015,England,Yorkshire and The Humber,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,16207.0
2015,England,Yorkshire and The Humber,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,16061.0
2015,England,Yorkshire and The Humber,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,99.0
2015,England,Yorkshire and The Humber,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,22663.0
2015,England,Yorkshire and The Humber,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,22600.0
2015,England,Yorkshire and The Humber,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,100.0
2015,England,Yorkshire and The Humber,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,13966.0
2015,England,Yorkshire and The Humber,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,13306.0
2015,England,Yorkshire and The Humber,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,95.0
2015,England,Yorkshire and The Humber,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,82902.0
2015,England,Yorkshire and The Humber,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,82203.0
2015,England,Yorkshire and The Humber,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,99.0
2015,England,Yorkshire and The Humber,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,64764.0
2015,England,Yorkshire and The Humber,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,64422.0
2015,England,Yorkshire and The Humber,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,99.0
2015,England,Yorkshire and The Humber,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,152239.0
2015,England,Yorkshire and The Humber,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,151732.0
2015,England,Yorkshire and The Humber,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,100.0
2015,England,Yorkshire and The Humber,Saltwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,4670.0
2015,England,Yorkshire and The Humber,Saltwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,120.0
2015,England,Yorkshire and The Humber,Saltwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,3.0
2015,England,Yorkshire and The Humber,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,1157.0
2015,England,Yorkshire and The Humber,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,1084.0
2015,England,Yorkshire and The Humber,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,94.0
2015,England,Yorkshire and The Humber,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,6986.0
2015,England,Yorkshire and The Humber,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,657.0
2015,England,Yorkshire and The Humber,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,9.0
2015,England,Yorkshire and The Humber,Built-up areas and gardens,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000003,1712.0
2015,England,Yorkshire and The Humber,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000003,1535.0
2015,England,Yorkshire and The Humber,Built-up areas and gardens,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000003,90.0
2015,England,East Midlands,Broadleaf woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,3467.0
2015,England,East Midlands,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,1510.0
2015,England,East Midlands,Broadleaf woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,44.0
2015,England,East Midlands,Coniferous woodland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,4741.0
2015,England,East Midlands,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,676.0
2015,England,East Midlands,Coniferous woodland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,14.0
2015,England,East Midlands,Arable,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,3969.0
2015,England,East Midlands,Arable,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,195.0
2015,England,East Midlands,Arable,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,5.0
2015,England,East Midlands,Improved grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,1072.0
2015,England,East Midlands,Improved grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,495.0
2015,England,East Midlands,Improved grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,46.0
2015,England,East Midlands,Semi-natural grassland,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,7804.0
2015,England,East Midlands,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,7714.0
2015,England,East Midlands,Semi-natural grassland,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,99.0
2015,England,East Midlands,"Mountain, heath, bog",Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,16912.0
2015,England,East Midlands,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,16882.0
2015,England,East Midlands,"Mountain, heath, bog",Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,100.0
2015,England,East Midlands,Saltwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,636.0
2015,England,East Midlands,Saltwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,2.0
2015,England,East Midlands,Saltwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,0.0
2015,England,East Midlands,Freshwater,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,2088.0
2015,England,East Midlands,Freshwater,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,1983.0
2015,England,East Midlands,Freshwater,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,95.0
2015,England,East Midlands,Coastal,Area of Key Biodiversity Areas (ha),Hectares (ha),Area of Key Biodiversity Areas (ha),E12000004,21592.0
2015,England,East Midlands,Coastal,Area of Key Biodiversity Areas within protected areas (ha),Hectares (ha),Area of Key Biodiversity Areas within protected areas (ha),E12000004,991.0
2015,England,East Midlands,Coastal,Area of Key Biodiversity Areas within protected areas (%),Percentage (%),Area of Key Biodiversity Areas within protected areas (%),E12000004,5.0
